State_Name,District_Name,Crop,Main_Season,Yield,Area,Production,Years_Grown,Suitability,state_enc,district_enc,crop_enc,season_enc
ANDHRA PRADESH,ANANTAPUR,MANGO,Whole Year,10.7109665122761,3951.5,42256.5,2,1192.0765799073658,1,24,60,2
ANDHRA PRADESH,ANANTAPUR,MASOOR,Kharif,0.16701994203400095,23117.0,3861.0,1,6935.30021196522,1,24,61,0
ANDHRA PRADESH,ANANTAPUR,MASOOR,Rabi,0.10204081632653061,98.0,10.0,1,29.56122448979592,1,24,61,1
ANDHRA PRADESH,ANANTAPUR,MESTA,Kharif,7.934722222222223,20.666666666666668,169.66666666666666,3,11.260833333333334,1,24,62,0
ANDHRA PRADESH,ANANTAPUR,MOONG(GREEN GRAM),Kharif,0.5310580235784264,1172.9411764705883,678.6470588235294,17,353.9009877553235,1,24,63,0
ANDHRA PRADESH,ANANTAPUR,MOONG(GREEN GRAM),Rabi,0.4873029287978273,98.46153846153847,63.92307692307692,13,31.130843295740238,1,24,63,1
ANDHRA PRADESH,ANANTAPUR,ONION,Kharif,16.347697548541028,1427.6666666666667,23812.6,15,439.6086185291246,1,24,67,0
ANDHRA PRADESH,ANANTAPUR,ONION,Rabi,22.153408835308532,320.64285714285717,7206.0,14,110.88490244404227,1,24,67,1
ANDHRA PRADESH,ANANTAPUR,ONION,Whole Year,18.284745762711864,1770.0,32364.0,1,542.0708474576271,1,24,67,2
ANDHRA PRADESH,ANANTAPUR,ORANGE,Whole Year,12.44386764553286,13604.0,168590.5,2,4088.8663205873195,1,24,68,2
ANDHRA PRADESH,ANANTAPUR,OTHER  RABI PULSES,Rabi,0.7254901960784315,6.666666666666667,2.0,3,2.735294117647059,1,24,69,1
ANDHRA PRADESH,ANANTAPUR,OTHER FIBRES,Whole Year,0.0,132.0,0.0,1,39.7,1,24,73,2
ANDHRA PRADESH,ANANTAPUR,OTHER FRESH FRUITS,Whole Year,0.8741506989260073,2829.5,2569.0,2,849.5744904193557,1,24,74,2
ANDHRA PRADESH,ANANTAPUR,OTHER KHARIF PULSES,Kharif,0.19449968496821637,948.2857142857143,144.35714285714286,14,286.0024140966952,1,24,75,0
ANDHRA PRADESH,ANANTAPUR,OTHER KHARIF PULSES,Rabi,1.2,5.0,6.0,1,2.32,1,24,75,1
ANDHRA PRADESH,ANANTAPUR,OTHER MISC. PULSES,Kharif,0.16563467492260062,1292.0,214.0,1,387.79938080495356,1,24,76,0
ANDHRA PRADESH,ANANTAPUR,OTHER OILSEEDS,Kharif,7.466949036213254,4648.666666666667,3495.6666666666665,3,1399.380169421728,1,24,77,0
ANDHRA PRADESH,ANANTAPUR,OTHER VEGETABLES,Whole Year,0.0,1775.0,0.0,2,532.7,1,24,78,2
ANDHRA PRADESH,ANANTAPUR,PAPAYA,Kharif,71.55539998068535,350.3333333333333,23019.333333333332,3,148.3332399884112,1,24,80,0
ANDHRA PRADESH,ANANTAPUR,PAPAYA,Whole Year,86.96026875658924,1462.5,130723.5,2,491.1261612539535,1,24,80,2
ANDHRA PRADESH,ANANTAPUR,POME FRUIT,Whole Year,54.58027439978932,1336.5,73278.0,2,433.8981646398736,1,24,88,2
ANDHRA PRADESH,ANANTAPUR,POME GRANET,Kharif,13.539670265613841,1433.6666666666667,19269.666666666668,3,438.52380215936836,1,24,89,0
ANDHRA PRADESH,ANANTAPUR,POTATO,Kharif,18.733333333333334,15.0,281.0,1,15.84,1,24,90,0
ANDHRA PRADESH,ANANTAPUR,POTATO,Rabi,18.169191919191917,56.5,1038.0,2,28.05151515151515,1,24,90,1
ANDHRA PRADESH,ANANTAPUR,POTATO,Whole Year,10.445283262356433,21.5,277.8333333333333,6,13.31716995741386,1,24,90,2
